st_reg_id,registry,is_platform_subtrial,results_recruitment_status,pub_link,pmid,best_date,journal,best_registry_date,st_pub_reported,is_euctr_country_entry
NCT04350320,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34658014/,34658014,2021-10-18T00:00:00Z,Cochrane Database Syst Rev,NA,NA,FALSE
NCT04350580,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/31986264/,31986264,2020-01-24T00:00:00Z,Lancet,NA,NA,FALSE
NCT04350593,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/40739638/,40739638,2025-07-30T00:00:00Z,Cardiovasc Diabetol,2022-04-13,NA,FALSE
NCT04350671,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04350684,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/34273635/,34273635,2021-07-10T00:00:00Z,Int Immunopharmacol,NA,NA,FALSE
NCT04350736,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04351152,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/35793833/,35793833,2022-07-06T00:00:00Z,Thorax,NA,NA,FALSE
NCT04351191,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04351243,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35290169/,35290169,2022-06-01T00:00:00Z,Am J Respir Crit Care Med,2021-12-10,NA,FALSE
NCT04351295,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/33492523/,33492523,2021-01-25T00:00:00Z,Arch Virol,NA,NA,FALSE
NCT04351347,ClinicalTrials.gov,FALSE,RECRUITING,NA,NA,NA,NA,NA,NA,FALSE
NCT04351490,ClinicalTrials.gov,FALSE,WITHDRAWN,https://pubmed.ncbi.nlm.nih.gov/33757717/,33757717,2021-03-16T00:00:00Z,Maturitas,NA,NA,FALSE
NCT04351516,ClinicalTrials.gov,FALSE,WITHDRAWN,https://pubmed.ncbi.nlm.nih.gov/32650818/,32650818,2020-07-10T00:00:00Z,Trials,NA,NA,FALSE
NCT04351724,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/40269760/,40269760,2025-04-23T00:00:00Z,BMC Med Res Methodol,NA,NA,FALSE
NCT04351763,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04352400,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/27550352/,27550352,2016-10-21T00:00:00Z,Antimicrob Agents Chemother,NA,NA,FALSE
NCT04352933,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04352946,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04352959,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32326426/,32326426,2020-04-15T00:00:00Z,J Clin Med,NA,NA,FALSE
NCT04353037,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/32031570/,32031570,2020-03-17T00:00:00Z,JAMA,2021-10-19,NA,FALSE
NCT04353128,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32147409/,32147409,2020-02-25T00:00:00Z,J Microbiol Immunol Infect,NA,NA,FALSE
NCT04353180,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04353271,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/3217330/,3217330,1988-02-08T00:00:00Z,Practitioner,2022-01-03,NA,FALSE
NCT04353284,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35412356/,35412356,2022-04-12T00:00:00Z,Microbiol Spectr,2022-03-24,NA,FALSE
NCT04353336,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04354259,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/33556319/,33556319,2021-02-05T00:00:00Z,Lancet Respir Med,NA,NA,FALSE
NCT04354428,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/35604806/,35604806,2021-12-20T00:00:00Z,Commun Med (Lond),NA,NA,FALSE
NCT04354597,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04354805,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04355026,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04355052,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04355143,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35783822/,35783822,2022-06-17T00:00:00Z,Front Cardiovasc Med,NA,NA,FALSE
NCT04355364,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/41125713/,41125713,2025-10-22T00:00:00Z,Sci Rep,NA,NA,FALSE
NCT04355637,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35144989/,35144989,2022-03-10T00:00:00Z,Eur Respir J,NA,NA,FALSE
NCT04355728,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2021-12-06,NA,FALSE
NCT04355936,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34189447/,34189447,2021-06-18T00:00:00Z,EClinicalMedicine,NA,NA,FALSE
NCT04355962,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32091533/,32091533,2020-04-07T00:00:00Z,JAMA,NA,NA,FALSE
NCT04356495,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/38454482/,38454482,2024-03-07T00:00:00Z,J Transl Med,NA,NA,FALSE
NCT04356690,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04356937,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/33085857/,33085857,2020-10-21T00:00:00Z,N Engl J Med,2021-07-27,NA,FALSE
NCT04357444,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/40329764/,40329764,2025-05-07T00:00:00Z,Immunology,NA,NA,FALSE
NCT04357457,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/36157895/,36157895,2022-09-21T00:00:00Z,EClinicalMedicine,NA,NA,FALSE
NCT04357613,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/32999432/,32999432,2020-09-30T00:00:00Z,Leukemia,NA,NA,FALSE
NCT04357730,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34592318/,34592318,2021-09-27T00:00:00Z,Chest,2022-01-20,NA,FALSE
NCT04357860,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34902262/,34902262,2021-12-13T00:00:00Z,Antimicrob Agents Chemother,NA,NA,FALSE
NCT04357990,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04358068,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,2021-04-01,NA,FALSE
NCT04358081,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2021-03-17,NA,FALSE
NCT04358549,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34888401/,34888401,2021-12-07T00:00:00Z,Open Forum Infect Dis,2022-03-29,NA,FALSE
NCT04358783,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32109013/,32109013,2020-02-28T00:00:00Z,N Engl J Med,NA,NA,FALSE
NCT04359095,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/30976418/,30976418,2019-04-01T00:00:00Z,Multidiscip Respir Med,NA,NA,FALSE
NCT04359277,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32311448/,32311448,2020-04-17T00:00:00Z,J Am Coll Cardiol,NA,1,FALSE
NCT04359316,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04359329,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/33240091/,33240091,2020-11-06T00:00:00Z,Front Pharmacol,NA,NA,FALSE
NCT04359511,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04359537,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/32289548/,32289548,2020-04-11T00:00:00Z,Travel Med Infect Dis,NA,NA,FALSE
NCT04359615,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04359654,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/39009040/,39009040,2024-07-16T00:00:00Z,Elife,NA,NA,FALSE
