id,target,med_type,desc,drug_oth,drug_std_extracted
122,pharmacological interventions,antibiotics and antiparasitics,antibiotics as soc,,antibiotics (class)
123,pharmacological interventions,antibiotics and antiparasitics,"standard supportive treatment (oxygen, enoxaparine, antibiotic, fluid, immune modulator (steroid) and or antiviral (favipiravir or ramdesivir or lopinavir + ritonavir)",,antivirals
124,advanced therapy medicinal products (atmp),,standard supportive treatment + 200 ml apheretic convalescent plasma single transfusion,,convalescent plasma
125,advanced therapy medicinal products (atmp),,standard supportive treatment + 400 ml apheretic convalescent plasma single transfusion,,convalescent plasma
126,advanced therapy medicinal products (atmp),,drug: ly3819253 other names: ly-cov555 bamlanivimab,,cov555
127,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
128,pharmacological interventions,antibiotics and antiparasitics,antibiotics (in all arms),,antibiotics (class)
129,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
130,pharmacological interventions,antibiotics and antiparasitics,antibiotic agents,,antibiotics (class)
131,pharmacological interventions,antibiotics and antiparasitics,antibiotic agents,,antibiotics (class)
132,pharmacological interventions,others,nangibotide,nangibotide,nangibotide
133,pharmacological interventions,,experimental: low dose bat2020,,bat2020
134,pharmacological interventions,,experimental: medium dose intervention: drug: bat2020,,bat2020
135,pharmacological interventions,,experimental: high dose intervention: drug: bat2020,,bat2020
136,pharmacological interventions,,part 1: single dose(s) of bat2020,,bat2020
137,pharmacological interventions,,hydroxychloroquine,,hydroxychloroquine
138,pharmacological interventions,,azithromycin,,azithromycin
139,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
140,pharmacological interventions,antibiotics and antiparasitics,antibiotic therapy,,antibiotics (class)
141,advanced therapy medicinal products (atmp),,phase 2a: administration of a new polyclonal humanized anti-sars-cov2 antibodies (xav-19),,xav-19
142,pharmacological interventions,antibiotics and antiparasitics,antibiotics for secondary bacterial infection as per institutional guidelines,,antibiotics (class)
143,pharmacological interventions,,thrombo-prophylaxis as per local guidelines,,thromboprophylaxis (supportive)
144,pharmacological interventions,nonspecific anti-inflammatory and immunosuppressive drugs,to consider steroids if indicated (i.e. acute exacerbation of copd or acute severe asthma),,nsaids (class)
145,pharmacological interventions,antibiotics and antiparasitics,antibiotics for secondary bacterial infection as per institutional guidelines,,antibiotics (class)
146,pharmacological interventions,,thrombo-prophylaxis as per local guidelines,,thromboprophylaxis (supportive)
147,pharmacological interventions,nonspecific anti-inflammatory and immunosuppressive drugs,to consider steroids if indicated (i.e. acute exacerbation of copd or acute severe asthma),,nsaids (class)
148,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
149,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
150,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
151,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
152,pharmacological interventions,others,"chg oral decolonization (swish and spit 15 ml 0.12% chg oral rinse for 30 seconds, four times/day) procedures.",,chg oral rinse
153,pharmacological interventions,others,small doses of glucocorticoids,,corticosteroids (supportive)
154,pharmacological interventions,others,general support therapy,,
155,pharmacological interventions,,antiviral drugs,,antivirals (supportive)
156,pharmacological interventions,antiviral not specified,antivirals,,antivirals (class)
157,pharmacological interventions,antibiotics and antiparasitics,empirical antibiotic therapy,,antibiotics (class)
158,pharmacological interventions,antibiotics and antiparasitics,empirical antibiotics,,antibiotics (class)
159,pharmacological interventions,others,adjuvant in 16 groups in experimental arm,adjuvant,adjuvant
160,pharmacological interventions,others,fisetin,fisetin,fisetin
161,pharmacological interventions,antibiotics and antiparasitics,patients receive antibiotics as standard of care,,antibiotics (class)
162,pharmacological interventions,antibiotics and antiparasitics,patients receive antibiotics only as standard of care,,antibiotics (class)
163,pharmacological interventions,antibiotics and antiparasitics,best supportive care: antibiotics,,antibiotics (class)
164,pharmacological interventions,antibiotics and antiparasitics,best supportive care: antibiotics,,antibiotics (class)
165,pharmacological interventions,,"control patients will receive the conventional treatment that may include analgesic, anti-inflammatory, antibiotic, steroid, antiplatelet, and anticoagulant.",,anticoagulants (supportive)
166,advanced therapy medicinal products (atmp),,plasma exchange,,plasma exchange
167,pharmacological interventions,,"sargramostim (125 ?g) will be administered by inhalation twice daily for 5 days, in principle (up to 10 days) as add-on treatment to the standard treatment.",,sargramostim
168,pharmacological interventions,antibiotics and antiparasitics,anti-bacterial infection treatment is given to the patients who have yellow sputum and increased levels of procalcitonin and other bacterial infection specific indicators.,,antibiotics (class)
169,pharmacological interventions,antiviral antiretrovirals,soc: retroviral drugs,,antivirals (class)
170,pharmacological interventions,monoclonal antibodies,anti-il-6 monoclonal antibody,,monoclonal antibody (class)
171,pharmacological interventions,,vitamin b complex vitamin b complex components: b12=1 mg; b6=50 mg; b9=2.5 mg; b1=100 mg; b2=100 mg; b3=14 mg; b7=50 mg,,vitamin b complex
172,pharmacological interventions,others,anti-sars-cov-2 hyperimmune serum,anti-sars-cov-2 hyperimmune serum,anti-sars-cov-2 hyperimmune serum
173,advanced therapy medicinal products (atmp),,convalescent plasma.,,convalescent plasma
174,advanced therapy medicinal products (atmp),,convalescent plasma.,,convalescent plasma
175,pharmacological interventions,miscellaneous other,anticoagulants,,anticoagulants (supportive)
176,pharmacological interventions,miscellaneous other,antihistamine,,antihistamine
177,pharmacological interventions,antiviral not specified,anti-viral medication,,antivirals (class)
178,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
179,pharmacological interventions,miscellaneous other,painkillers,,analgesics (supportive)
180,pharmacological interventions,miscellaneous other,anti-pyretics,,antipyretics (supportive)
181,pharmacological interventions,antiviral not specified,anti-viral medication,,antivirals (class)
182,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
183,pharmacological interventions,miscellaneous other,painkillers,,analgesics (supportive)
184,pharmacological interventions,miscellaneous other,anti-pyretics,,antipyretics (supportive)
185,pharmacological interventions,miscellaneous other,anti-coagulant,,anti-coagulant
186,advanced therapy medicinal products (atmp),,brii-198,,brii-198
187,advanced therapy medicinal products (atmp),,azd8895,,azd8895
188,pharmacological interventions,,standard of care,,standard of care
189,pharmacological interventions,antibiotics and antiparasitics,antibiotic therapy when indicated,,antibiotics (class)
190,pharmacological interventions,antibiotics and antiparasitics,antibiotic therapy when indicated,,antibiotics (class)
191,pharmacological interventions,miscellaneous other,firazyrï¿½ (icatibant acetate 30 mg),,icatibant acetate
192,pharmacological interventions,others,rocefin,,rocefin
193,pharmacological interventions,others,rocefin,,rocefin
194,pharmacological interventions,others,heberferon,heberferon,heberferon
195,pharmacological interventions,others,heberferon,heberferon,heberferon
196,advanced therapy medicinal products (atmp),,mononuclear cells or more containing at least 1% cd34 + progenitor cells,,mononuclear cells
197,pharmacological interventions,other antiviral,antivirals,,antivirals (class)
198,pharmacological interventions,miscellaneous other,vasopressors,,vasopressors
199,pharmacological interventions,antibiotics and antiparasitics,antibiotics,,antibiotics (class)
